Mg25	Latitude	Longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	wind	srad	ai	awc	bulk_density	clay	coarse_frag	texture_usda	sand	silt	ph	CN	CEC	CaCO3	N	P	K	Mg_MMI_07	Mg_MMI_72
4128.570073	36.97	-3.36	11.51666641	12.91666698	40.49111557	667.3364258	30.20000076	-1.700000048	31.90000153	5.116666317	20.25	20.25	4.066666603	568.0	74.0	6.0	52.21708679	215.0	37.0	37.0	209.0	4.016666412	17068.66602	0.369199991	0.114506975	1.360389471	25.93979454	32.01517105	9.0	33.14161682	40.91858673	6.451407433	13.07920361	16.87923431	21.28652191	2.729095459	25.2014389	237.4575195	3.0	46.0
4123.237838	38.25	-4.32	14.5666666	12.94999981	39.72392654	687.0170288	33.70000076	1.100000024	32.60000229	7.666666985	23.5	23.51666641	6.866666794	532.0	78.0	6.0	52.44025421	209.0	36.0	38.0	194.0	2.916666746	16714.83398	0.32069999	0.086243555	1.083826065	17.82018089	22.40559578	9.0	41.84747314	40.33234406	6.402564526	11.6151228	11.9867754	24.87218094	1.885571599	37.26205826	334.770752	3.0	41.0
4121.233047	39.4	-5.33	14.32916641	11.32499981	38.52040863	637.9564819	31.29999924	1.899999976	29.39999962	7.916666508	22.64999962	22.64999962	7.150000095	530.0	72.0	6.0	49.64038086	203.0	39.0	39.0	195.0	2.666666746	16634.66602	0.34040001	0.091274135	1.39017117	16.49234962	23.69248772	9.0	41.63941956	41.86823273	6.477838993	10.54059219	12.28148174	68.27770233	1.63742733	27.93377686	369.6984253	2.0	38.0
4120.79893	38.3333	-3.53333	14.72916698	13.07499981	39.26426315	718.6143799	34.29999924	1.0	33.29999924	10.44999981	24.01666641	24.18333435	6.733333588	433.0	61.0	5.0	49.18143082	163.0	32.0	35.0	152.0	2.941666603	16759.16602	0.253100008	0.0926954	1.182278872	25.88682938	19.19272995	9.0	36.9691124	37.14405823	6.997403622	9.849017143	13.44509888	78.304039	1.674072266	25.51589966	334.1227112	3.0	45.0
4116.75432	40.4	-5.0	9.375	9.666666985	35.53921509	633.2079468	25.39999962	-1.799999952	27.19999886	5.900000095	17.73333359	17.73333359	2.433333397	652.0	82.0	18.0	38.96955872	229.0	73.0	73.0	206.0	3.25	16060.25	0.486400008	0.100565396	1.052892327	21.78379059	26.9890976	12.0	48.40419769	29.81201172	6.601819038	11.34140968	14.67077732	112.7965012	1.229951739	17.49871254	134.2161865	1.0	30.0
4115.064242	48.53	9.09	9.050000191	9.066666603	34.08521271	668.7267456	23.89999962	-2.700000048	26.60000038	15.80000019	2.150000095	17.38333321	0.933333278	715.0	93.0	37.0	28.8264637	253.0	121.0	239.0	128.0	2.399999857	11036.66699	0.836300015	0.111806758	1.098994732	32.04742432	15.0275631	9.0	28.07701111	39.87556458	6.895209789	11.59716415	20.60403252	70.66129303	2.379331589	39.54592133	166.0233917	3.0	45.0
4112.780454	41.86	2.99	13.64583302	9.125	37.24489975	556.8599243	26.79999924	2.299999952	24.5	14.58333302	20.76666641	20.83333397	7.416666508	698.0	86.0	27.0	25.67106247	224.0	133.0	156.0	160.0	3.75	14670.0	0.552699983	0.109779716	1.08999896	27.61273193	30.39430618	9.0	34.94876099	37.43850708	6.256552219	13.53551388	14.06431103	66.46964264	2.678251982	27.16062355	363.9418945	3.0	49.0
4105.216128	39.66	-4.34	14.53333282	12.35000038	38.23529434	704.5512085	33.29999924	1.0	32.29999924	10.26666641	23.61666679	23.78333282	6.633333206	415.0	51.0	10.0	38.48556519	142.0	46.0	54.0	123.0	2.25	16286.16699	0.262699991	0.081212923	1.205536842	11.76012707	21.24193192	12.0	63.85173035	24.38814545	6.876152992	10.90944481	10.57098579	92.310112	1.225525975	19.01055717	256.9661255	2.0	35.0
4094.295957	40.64	17.31	13.72916698	8.091666222	32.62768555	615.8012695	27.70000076	2.900000095	24.80000114	11.08333302	21.66666603	21.66666603	6.916666508	585.0	70.0	21.0	36.56589127	210.0	77.0	77.0	187.0	3.383333445	15062.25	0.475800008	0.113181971	0.963522911	21.76561546	14.94049644	9.0	32.4931488	45.74123383	6.842741966	12.49071026	21.03968048	102.4801865	2.467388153	12.37214756	840.2749023	3.0	41.0
4071.584977	49.42	16.36	7.708333492	8.133333206	30.01230049	732.1724854	22.60000038	-4.5	27.10000038	15.16666603	0.01666666	16.64999962	-1.299999952	538.0	82.0	24.0	43.37608337	218.0	78.0	218.0	80.0	3.691666603	10971.83301	0.604499996	0.084765039	1.431786418	17.22577095	29.83935356	9.0	26.509552	56.26467896	5.70526886	16.05817223	11.15738773	25.95822716	3.301705599	34.5234375	147.6229858	3.0	45.0
4069.324838	40.95	-3.31	12.07916641	11.5583334	38.02083588	671.5668945	29.79999924	-0.600000024	30.39999962	8.166666985	20.76666641	20.86666679	4.550000191	386.0	46.0	13.0	33.22391891	128.0	56.0	58.0	102.0	2.541666746	15318.0	0.275200009	0.08565063	1.390462995	9.144094467	23.04214478	9.0	64.18315125	26.67275238	6.875904083	11.0399437	10.85658932	90.18603516	1.547336459	22.45687103	210.4122162	4.0	55.0
