Accession_ID	Mg_blues (µg/g DW)	Latitude	Longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	awc	bulk_density	CaCO3	CEC	clay	CN	coarse_fragments	K	N	P	ph	sand	silt	srad_mean	ai	Mg(Soil) mg/kg
997	5990.777603	55.3833	14.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1002	4522.997789	55.3833	14.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1061	4817.26328	55.7167	14.1333	7.579166889	6.858333111	29.18439674	620.701416	21.10000038	-2.400000095	23.5	8.300000191	2.533333302	15.5666666	0.466666639	679	70	39	18.88563538	206	132	171	167	0.072546445	1.445899963	8.966086388	11.89028263	10.59540081	10.90642357	8.468811035	117.4298019	1.613370895	50.66030502	6.248390198	66.51721191	22.88739014	9923.833008	0.930299997	40
1062	5363.207207	55.7167	14.1333	7.579166889	6.858333111	29.18439674	620.701416	21.10000038	-2.400000095	23.5	8.300000191	2.533333302	15.5666666	0.466666639	679	70	39	18.88563538	206	132	171	167	0.072546445	1.445899963	8.966086388	11.89028263	10.59540081	10.90642357	8.468811035	117.4298019	1.613370895	50.66030502	6.248390198	66.51721191	22.88739014	9923.833008	0.930299997	40
1063	5731.589372	55.7167	14.1333	7.579166889	6.858333111	29.18439674	620.701416	21.10000038	-2.400000095	23.5	8.300000191	2.533333302	15.5666666	0.466666639	679	70	39	18.88563538	206	132	171	167	0.072546445	1.445899963	8.966086388	11.89028263	10.59540081	10.90642357	8.468811035	117.4298019	1.613370895	50.66030502	6.248390198	66.51721191	22.88739014	9923.833008	0.930299997	40
1066	4919.081178	55.7167	14.1333	7.579166889	6.858333111	29.18439674	620.701416	21.10000038	-2.400000095	23.5	8.300000191	2.533333302	15.5666666	0.466666639	679	70	39	18.88563538	206	132	171	167	0.072546445	1.445899963	8.966086388	11.89028263	10.59540081	10.90642357	8.468811035	117.4298019	1.613370895	50.66030502	6.248390198	66.51721191	22.88739014	9923.833008	0.930299997	40
1158	4506.017524	56.7	16.5167	7.070833206	7.558333397	29.4098568	665.0579834	21.60000038	-4.099999905	25.70000076	14.91666698	1.616666675	15.69999981	-0.516666651	521	56	31	20.10188866	162	98	151	119	0.07626342	1.133226871	13.19333839	12.91362667	13.52543831	13.73910999	8.333993912	96.15818787	2.722232819	27.90097618	6.050233841	61.56747818	24.9070816	10130	0.701499999	29
1254	4675.515713	59.4333	17.0167	6.279166698	7.525000095	26.97132683	740.2071533	21.60000038	-6.300000191	27.90000153	15.8166666	-1.900000095	15.8166666	-2.383333445	529	65	23	29.94579124	179	85	179	98	NA	NA	0	18.42562485	12.76269341	22.34348488	NA	158.154953	2.780440331	17.23876762	4.614215851	73.66558838	13.57171631	9761	0.691399992	NA
1257	5080.701842	59.4333	17.0167	6.279166698	7.525000095	26.97132683	740.2071533	21.60000038	-6.300000191	27.90000153	15.8166666	-1.900000095	15.8166666	-2.383333445	529	65	23	29.94579124	179	85	179	98	NA	NA	0	18.42562485	12.76269341	22.34348488	NA	158.154953	2.780440331	17.23876762	4.614215851	73.66558838	13.57171631	9761	0.691399992	NA
1317	4563.514158	59.5667	16.8667	6.208333492	7.766666412	27.34741783	749.7358398	21.79999924	-6.599999905	28.39999962	15.86666679	-2.099999905	15.86666679	-2.583333254	534	70	24	30.77636528	184	88	184	98	NA	NA	1.644965529	17.7133503	31.48813248	14.21130943	NA	188.9149933	2.157325506	26.31598473	6.100196362	32.36734009	36.14452744	9693.666992	0.707899988	NA
