Mg(Leaf)	latitude	longitude	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	wind	srad	ai	awc	bulk_density	clay	coarse_frag	texture_usda	sand	silt	pH	CN	CEC	CaCO3	N	P	K	Mg(Soil)
5045.523684	49.17	16.5	8.854166985	8.458333015	29.99408913	755.6467896	24.20000076	-4	28.20000076	16.56666756	0.933333337	18.06666756	-0.516666651	503	79	23	43.68778992	205	72	203	75	3.258333206	11056.91699	0.529100001	0.102609813	1.3577739	23.87924957	9.075079918	8	16.89442444	59.22632599	7.549665928	9.555913925	21.95763206	13.40253258	1.553450465	40.08561325	341.4945984	53
5044.775364	43.74	3.89	14.07916641	9.141666412	35.29600906	605.116272	28.39999962	2.5	25.89999962	10.66666698	21.86666679	21.86666679	7.116666794	683	103	22	34.9028511	232	102	102	193	4.724999905	14307	0.482300013	0.106816418	1.212353349	34.99074173	21.79871559	9	23.74388123	41.26537704	6.837937832	17.77209282	14.04249763	130.8096008	1.598960757	10.96712494	261.5599976	44
5035.909893	48.56	9.16	8.887499809	8.875	33.87404633	661.7783203	23.39999962	-2.799999952	26.19999886	15.51666641	2.033333302	17.11666679	0.849999964	719	95	37	28.81362915	253	121	242	129	2.450000048	11062.16699	0.851000011	0.095097549	1.311320901	20.36334038	15.87437916	6	43.07833099	36.55832672	6.501185894	14.22077942	21.08841133	25.37044334	1.627157092	13.00157261	177.0998077	44
5035.699789	55.71	13.2	8.1875	6.308333397	26.95869064	650.8146362	21.39999962	-2	23.39999962	8.783332825	3	16.48333359	0.649999976	661	68	35	20.70275879	200	123	174	156	3.933333397	9831	0.82249999	0.078009151	1.501915216	7.064375877	7.12353754	12	74.93592834	17.99969482	5.788283348	15.35336876	9.054650307	4.677136898	1.897607803	31.69581032	146.8051147	34
5035.53325	49.4112	16.2815	7.395833492	8.241666794	30.07907486	733.8084106	22.5	-4.900000095	27.39999962	16.35000038	-0.300000012	16.35000038	-1.633333325	560	85	26	42.74531555	226	82	226	85	3.858333349	10930.91699	0.642199993	0.082404971	1.400041461	18.05256653	16.11732292	9	44.13959503	37.80783844	5.724782944	10.38245678	11.53142357	0	2.134118557	38.88417053	205.5180206	47
5034.381605	48.86	4.1	10.38333321	9.600000381	37.79527664	588.647644	25.10000038	-0.300000012	25.39999962	17.85000038	6.333333015	17.85000038	3.416666746	610	62	42	12.7132616	172	126	172	142	3.708333254	11176.66699	0.651899993	0.102908187	1.308213353	27.05985641	22.51915932	8	19.42929077	53.51085281	7.375751495	10.74039841	15.55145836	360.4080811	1.547757506	46.0576973	269.066803	30
5032.558551	55.7	13.2	8.316666603	6.400000095	27.23404121	650.5988159	21.60000038	-1.899999976	23.5	8.933333397	3.133333445	16.60000038	0.76666671	615	64	31	20.80802155	187	112	166	140	3.875	9849.5	0.763000011	0.068300799	1.507487178	9.143152237	8.687058449	12	69.39739227	21.4594574	5.973516464	15.45495319	9.803943634	6.839525223	2.147694588	33.34064102	156.4263	34
5031.139936	56	-4.4	7.329166889	6.108333111	37.93996048	392.7783203	16.39999962	0.300000012	16.10000038	3.649999857	8.566666603	12.30000019	2.916666746	1669	205	83	31.98493004	571	258	292	526	5.400000095	8579.5	2.673300028	0.08575207	1.159986377	17.04771423	13.93440151	9	54.34497833	28.60730743	4.974608421	15.53143406	17.21097183	0	4.005335331	18.37334442	149.1517944	41
5027.793916	46.36	11.28	11.15000057	9.800000191	32.77592087	762.0814819	27	-2.900000095	29.89999962	20.51666641	1.800000072	20.51666641	1.800000072	799	97	33	31.32765388	257	119	257	119	1.016666651	12412.25	0.809300005	0.102624528	1.157588363	20.26763725	17.01468468	9	40.57906342	39.15329742	6.74727726	12.31131077	26.3205471	37.44922638	2.948513031	26.36223602	165.5933075	52
5027.72464	55.8369	13.3181	7.783333302	6.833333492	28.95480156	643.8355713	21.10000038	-2.5	23.60000038	4.650000095	2.666666746	15.96666718	0.316666663	734	75	42	20.3682785	224	138	192	179	3.266666651	9816.916992	0.953499973	0.075310118	1.165325642	9.971796989	6.349861622	12	70.52334595	19.50485992	5.988176823	14.96964359	9.420408249	6.893508434	1.767194271	34.15799332	112.461731	37
