Accession_ID	Name	Country	Latitude	Longitude	CS_number	material	material_Country	Li7	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe57	Co59	Cu65	Zn66	As75	Se82	Rb85	Sr88	Mo98	Cd114
9818	Aln-30	Spain	41.14	-0.25		leaf	Spain_leaf	13.9906032	933.9876419	5023.939708	17652.5239	13193.53042	83039.37469	39012.91212	217.5490527	137.5142222	2.21336359	6.189745633	83.3562665	1.076811744	67.55454009	458.77437	62.12644407	1.697626031	2.024820255
9819	Amu-0	Spain	42.35	-3.03	CS76664	leaf	Spain_leaf	13.91112367	1443.645158	4561.312405	17511.06424	12659.48769	72306.34161	40449.63888	220.351009	138.5933861	2.646934018	8.36104748	93.70186672	1.008934875	65.49599837	405.413657	62.96005112	11.89647784	2.409905184
9820	Are-0	Spain	41.0	-4.71	CS76671	leaf	Spain_leaf	13.88061378	658.9417754	4508.209644	15507.03231	14431.7829	69637.92156	41576.41879	248.1934728	143.7291639	2.358055799	7.32366392	82.10737105	0.961956081	88.55666853	374.448893	66.43082817	7.703501836	2.289540177
9821	Aru-0	Spain	41.81	2.49	CS76674	leaf	Spain_leaf	13.81199682	1730.123384	5012.645178	16636.00753	12835.42362	80451.85606	40140.22393	222.7779615	138.8472742	2.383874003	8.28560415	96.07807874	0.976679278	65.45906677	399.8360754	62.01524264	4.463944879	2.479677925
9822	Aul-0	Spain	40.52	-4.02	CS76675	leaf	Spain_leaf	14.53784704	422.2064439	4469.752822	16743.07835	14181.69158	75107.90914	38861.92722	243.8754247	137.4124906	3.440366327	6.789528113	92.23715703	0.924832268	79.56041893	442.4366352	63.76530821	1.01922242	2.553637384
9823	Bae-0	Spain	43.34	-5.84	CS76681	leaf	Spain_leaf	15.23464582	1368.326018	4667.088999	16924.19463	11706.26123	69083.65828	40411.45376	231.3156283	138.8913097	1.795074447	8.137269482	93.52356242	1.006985466	66.03466362	377.9162293	66.4257131	6.495755452	2.381446309
9824	Bes-5	Spain	42.91	-4.91	CS76702	leaf	Spain_leaf	14.18704695	1199.669796	5447.656982	18586.39709	13197.47622	79629.65048	37507.42371	206.8298843	132.8524502	1.831884965	7.925954413	84.52926008	0.937553667	80.94663333	475.1016003	57.82556679	8.537907657	2.011744394
9825	Boa-0	Spain	40.4	-3.88	CS76714	leaf	Spain_leaf	14.82996518	618.168695	4523.343857	15280.65676	12515.36247	79300.0101	37737.34753	277.7586145	133.2730159	3.724582117	8.289886536	109.7881799	0.956312054	75.71083779	431.7341327	55.70903251	5.556642496	2.342750586
9826	Bor-0	Spain	42.49	-6.71	CS76717	leaf	Spain_leaf	14.84027312	927.8323959	4387.576999	15504.35342	13536.30301	78428.75762	39868.02398	218.7348823	137.4588367	1.9141424	7.929257638	93.73112058	1.171083669	80.65561874	451.6143797	62.36494337	12.9028187	2.203336449
9827	Bos-0	Spain	42.78	0.69	CS76719	leaf	Spain_leaf	14.27260176	1079.084093	5515.055467	16742.96665	14310.06771	65398.65331	41866.5915	213.1804773	140.2956812	2.604270124	8.105583202	89.59275691	0.919275925	79.72301516	378.0656423	64.84746124	1.050171305	2.212794503
9828	Bra-0	Spain	42.5	-6.15	CS76721	leaf	Spain_leaf	15.20061712	880.9933094	4381.569449	14816.5735	13029.76707	70547.7892	42629.45773	226.4985274	139.0097072	2.217951484	8.190851661	87.23961898	0.962547301	71.29417361	395.3355553	69.2696824	6.608179626	2.306713998
9829	Bur-0A	Spain	40.43	-4.75		leaf	Spain_leaf	14.57412443	1540.464054	4973.513416	16453.55558	13817.69311	68628.02446	42525.3242	224.6281246	139.6668243	3.716518157	7.357661716	94.87750072	0.966044641	78.91678191	416.4978351	70.36654211	1.093460944	2.304608165
9830	Bus-0	Spain	36.97	-3.28	CS76736	leaf	Spain_leaf	15.76308465	734.568767	4365.971957	15602.77594	10989.17186	83640.44213	43285.31735	226.9439617	138.6212395	1.697795557	7.570253681	95.92136005	0.972458928	65.41991453	437.0585237	67.49175865	4.362983272	2.311660735
9831	Cas-0	Spain	38.54	-3.39	CS76743	leaf	Spain_leaf	14.81199472	943.3857046	4412.247657	15285.24914	13746.30163	66452.04428	40927.09122	224.474028	139.0129797	2.515570827	8.41206044	100.6950855	0.935369545	85.38305122	377.7813925	66.60192341	7.598864731	2.673825458
9832	Cat-0	Spain	40.54	-3.69	CS76759	leaf	Spain_leaf	13.96565856	1211.24388	3886.859776	15325.44584	14668.1741	74856.13122	38373.83943	225.2823086	139.0655881	2.569171288	6.90606891	145.5891908	1.030655341	90.44097662	400.0430503	61.74856208	4.098484689	2.485567167
9833	Cha-0	Spain	40.38	-4.21	CS76764	leaf	Spain_leaf	14.38880451	1169.251102	4427.234557	15999.44245	13117.51741	78898.23232	38856.62438	231.1955859	140.2562865	3.500671915	7.729294675	100.3035717	0.871732991	75.19470791	443.5293885	63.6825245	6.492514408	2.502919296
9834	Cho-0	Spain	40.51	-3.9	CS76768	leaf	Spain_leaf	15.40585668	1160.800027	4255.591946	15735.19066	12480.33564	81252.028	37090.19163	222.264104	131.6407724	2.926303088	7.217024302	89.36595959	0.993718166	79.48323353	441.2322429	53.82297482	1.266305269	2.219116227
9835	Cir-0	Spain	40.61	-6.57	CS76772	leaf	Spain_leaf	13.71366588	634.9476431	4035.990182	15317.00743	14879.4189	63374.9332	37788.35207	252.3883757	136.7654072	2.493688407	8.674457658	98.04322129	1.031011149	83.05613509	366.4366767	60.61911967	11.47825089	2.530580549
9836	Cod-0	Spain	41.25	-1.32	CS76777	leaf	Spain_leaf	14.26275556	1366.507362	5543.555487	14554.27861	14329.94963	65586.21552	41972.89356	237.1051362	141.3341856	2.322084046	7.625478995	92.67118352	1.056759716	75.46937991	368.5817508	70.28716265	6.774478385	2.3735966
9837	Con-0	Spain	37.94	-5.6	CS76780	leaf	Spain_leaf	14.84788929	1194.13942	4400.32119	16344.97094	13120.90071	76746.14615	40939.94975	207.99691	140.8594328	1.812143963	7.925658084	92.7582151	1.095121732	71.02675488	485.6781044	61.86571048	4.692099677	2.350440052
9838	Cot-0	Spain	41.83	-5.38	CS76784	leaf	Spain_leaf	14.57478604	1458.408755	4510.40838	16282.88135	12917.41507	67721.097	40232.61547	221.0855185	139.8533618	1.891170587	9.015962519	90.30226724	1.110433477	72.64456374	351.1849282	63.13223209	11.89272053	2.278287123
9839	Coy-0	Spain	40.44	-4.27	CS76785	leaf	Spain_leaf	14.25873225	1248.97942	4287.245849	16674.88606	13565.61401	76644.28511	36951.71045	241.6081558	135.0370409	2.169619207	8.123709462	99.45520146	0.941418735	84.10106648	452.5090797	63.01019983	1.592293692	2.532427355
9840	Dar-0	Spain	41.13	-1.43	CS76792	leaf	Spain_leaf	13.85962887	860.9675781	5200.838649	15279.38095	13976.69913	72096.6512	41164.90719	216.8709818	141.7715613	2.657954608	7.651832025	97.58564932	0.881529798	82.57829097	423.3869068	69.19084229	7.052553498	2.342599731
